"Parameter","Item","True_Value","FlexMIRT_Mean","MIRT_Mean","Mplus_Mean","Ratio_MEAN_Flex_MIRT","Ratio_MEAN_Flex_Mplus","Ratio_MEAN_MIRT_Mplus","FlexMIRT_RMSD","MIRT_RMSD","Mplus_RMSD","FlexMIRT_VAR","MIRT_VAR","Mplus_VAR"
"Intercept",1,NA,0.25969083,0.241917487745363,0.24305076098,1.07346861287409,1.0684633487791,0.995337298142711,0.0419630712282252,0.0395922711005526,0.0255910030704646,0.00176266200891402,0.00140904215675496,0.000655554993145674
"Slope",1,NA,0.271781162,0.243366507566113,0.24160572836,1.11675663474839,1.12489535676504,1.00728782060784,0.043536720767988,0.0298324756436839,0.0366025016952807,0.00189734339862838,0.000682440951322353,0.00134108421456759
"Intercept",2,NA,0.296030449,0.27553932985932,0.26129152145,1.07436731137853,1.13295084110354,1.054528399277,0.0547210152402292,0.0485976263335441,0.0330600706959577,0.00299738689581722,0.00225349425561989,0.00109406233675848
"Slope",2,NA,0.287078792,0.261726044634321,0.27512904903,1.09686749899538,1.04343322892341,0.951284662804844,0.0468239607318169,0.033942184935251,0.0462525608708249,0.00219467797659133,0.00115164967718611,0.0021414408279373
"Intercept",3,NA,0.334279724,0.313145173777443,0.30640505894,1.06749122130037,1.09097325336739,1.02199740063288,0.0703505797046039,0.0618043329430057,0.0513295611427005,0.00495415822299682,0.00377259228304638,0.00263736120831054
"Slope",3,NA,0.33307192,0.307126846917506,0.31254352015,1.08447673442714,1.06568173238769,0.982669059240472,0.0650429164515368,0.0533765095682683,0.0594832670169829,0.00423481579631791,0.00283121837077122,0.00354180085586956
"Intercept",4,NA,0.456866387,0.424791711233285,0.49108991584,1.07550683056784,0.930311073927345,0.864997829382603,0.17732996754618,0.14673690199322,0.144992310693408,0.031477394784714,0.0207153174448933,0.021043813974188
"Slope",4,NA,0.542497045,0.499553089106331,0.41807367218,1.0859647489529,1.29761111760807,1.19489248510069,0.212531655003275,0.177880554542259,0.12156685677679,0.0452149192977288,0.029913324277222,0.0147932939605491
"Intercept",5,NA,0.159249947,0.149281611835661,0.16288235303,1.06677537200839,0.977699204595043,0.916499602680506,0.0101617307451138,0.00928196171171405,0.00978756412061663,0.000103364135872063,8.62407739357997e-05,9.58923037189009e-05
"Slope",5,NA,0.177474591,0.162982164875267,0.14926043584,1.08892031920072,1.18902634848423,1.09193145496356,0.0141944165607368,0.00988210812402955,0.0092108960800109,0.000201683144644364,9.76219751382454e-05,8.49255321288891e-05
"Intercept",6,NA,0.181624647,0.171104250392914,0.19574624159,1.06148530257388,0.927857646331834,0.874112570453844,0.0156940466110685,0.0146271171065228,0.0179818913150364,0.00024654964867907,0.000211655889927408,0.000323672087353134
"Slope",6,NA,0.211801181,0.195875692758267,0.17106196369,1.08130405573798,1.23815473896832,1.14505696376334,0.0219429431649503,0.0196623733258886,0.0144056681936288,0.000481974729469709,0.00033020945634384,0.000207731007112041
"Intercept",7,NA,0.210943859,0.200158723173121,0.24986222677,1.05388291679674,0.844240691067623,0.801076360202971,0.0242645804556172,0.0239782521086385,0.0328335461959901,0.00058935922391103,0.000514183028633551,0.0010791208766809
"Slope",7,NA,0.267455865,0.25020694501147,0.19999722069,1.06893861394511,1.33729790882725,1.25105211036555,0.0377973216295649,0.0335208340646213,0.022288304644987,0.00143006758995874,0.00112041773969578,0.000497265789737487
"Intercept",8,NA,0.284496681,0.27095454014963,0.42303916965,1.04997938341573,0.672506711932555,0.640495158814261,0.0532577676321796,0.0489872099752571,0.0940742414459702,0.00283922904220545,0.00231494153963358,0.00885882172536005
"Slope",8,NA,0.454059171,0.424763807414425,0.27024815609,1.06896859636865,1.68015640724219,1.57175469227981,0.112653891957179,0.0998065987746949,0.0458345790383294,0.0127036029760758,0.00992731569806245,0.00210291154716803
"Intercept",9,NA,0.131310881,0.12313971951388,0.14073370337,1.06635683042301,0.933045019463272,0.874983863603276,0.00423416636480418,0.00390143471215854,0.00743801456289815,1.79461109157548e-05,1.39981400913548e-05,5.53794400779629e-05
"Slope",9,NA,0.152558086,0.14079842325433,0.123134456,1.08352126731155,1.23895529290356,1.14345267627065,0.00897809273435087,0.00762530394281123,0.0037260591812162,8.06868359825865e-05,5.57236572351307e-05,1.38974144363619e-05
"Intercept",10,NA,0.14952562,0.141319749426752,0.17850680837,1.05806598586917,0.837646593793055,0.791677083452366,0.00789374125567845,0.00771147112564005,0.0158851804297097,6.23735245361362e-05,5.69848749144166e-05,0.000252591548833266
"Slope",10,NA,0.192131164,0.178613748725762,0.14129225772,1.07567959001293,1.35981381499861,1.26414392131607,0.017996321565784,0.0163665472429989,0.00748914204251093,0.000324191781680785,0.000256667334087334,5.61433919248296e-05
"Intercept",11,NA,0.173704279,0.165253757850305,0.23334970196,1.05113663531543,0.744394689776702,0.708180711019859,0.0128640880110157,0.0135001127035452,0.0294643169588692,0.000165650410765925,0.000157324255178426,0.00086901498884155
"Slope",11,NA,0.249446071,0.233558543093315,0.16518166297,1.06802374983277,1.51013173323787,1.4139495806852,0.0323169579122782,0.0308836443932683,0.0123898621490404,0.00104543119990386,0.000893630142855816,0.000153662346418642
"Intercept",12,NA,0.232325006,0.223310844189106,0.40356788505,1.04036598331633,0.575677635922928,0.553341463633656,0.0252373524667696,0.0253033342136585,0.0814230337816011,0.000637561521053016,0.000613351315572403,0.00663634677697673
"Slope",12,NA,0.429499152,0.404484248456617,0.22307070277,1.06184394976772,1.92539471417204,1.81325581277101,0.0938202843721596,0.0843092690680421,0.0241731845225179,0.00881105681648939,0.00710825737001028,0.000584927777737438
"Intercept",13,NA,0.159195238,0.149061268551762,0.16258808389,1.0679852623468,0.979132259826031,0.916803156697574,0.0104914982506483,0.00954700522132131,0.00982469421691208,0.000110181717260617,8.97320554041858e-05,9.66212376935191e-05
"Slope",13,NA,0.176939436,0.162691163084923,0.14903545732,1.08757865298215,1.18723046972699,1.09162722757714,0.01457781386628,0.0103477764256354,0.00939109475279544,0.000212725382502407,9.822101366965e-05,8.82809415975796e-05
"Intercept",14,NA,0.180975893,0.170640457403321,0.19495899731,1.06056849444707,0.928276691494439,0.875263310530826,0.0161245813712962,0.0154186299528692,0.0188566711186358,0.000260262386786337,0.000228547577940387,0.000355929975652046
"Slope",14,NA,0.210352701,0.195076483316917,0.17061482831,1.07830886339214,1.23290984191478,1.14337355814391,0.0226189316656556,0.0190584034847922,0.0149944212470707,0.000512128197893493,0.00036243953015681,0.000225057726260866
"Intercept",15,NA,0.211503171,0.200197073723358,0.24965702935,1.05647483785035,0.84717490851615,0.801888391625044,0.0256433177957487,0.0241148412512877,0.0345086837390194,0.000658237985559319,0.000570703992526583,0.00119204129469436
"Slope",15,NA,0.268409012,0.250015576224556,0.20003462826,1.07356915938279,1.34181273679839,1.24986147848158,0.0396175241366224,0.0382357061304376,0.0234284729352377,0.00157111933805391,0.00124346457027742,0.000549442786864031
"Intercept",16,NA,0.286356819,0.272694693509549,0.42705093477,1.05010044498711,0.670544882788338,0.638553088887198,0.0533559887816376,0.0493519119468652,0.0937088598646666,0.00284971125011636,0.00236899121859779,0.00879014055769341
"Slope",16,NA,0.457035076,0.428378464387286,0.24076081047,1.06689554680043,1.89829513826524,1.77926990506067,0.110077743455461,0.0977981370157888,0.0325312651531819,0.0121292388430893,0.00956877436686308,0.00105934255502165
"Intercept",17,NA,0.258833131,0.24093604780903,0.24321784414,1.07428146744216,1.06420288328438,0.990618302127304,0.0376272802334934,0.0330833538676045,0.0242858245680828,0.00141722944721706,0.00109426744900779,0.000590391666618314
"Slope",17,NA,0.272953835,0.24343698366257,0.24076081047,1.12125048089794,1.1337137238704,1.01111548506315,0.0461381549622195,0.0246356895922768,0.0325312651531819,0.0021308602035213,0.000606208143329651,0.00105934255502165
"Intercept",18,NA,0.297435378,0.276347856446452,0.26215520693,1.07630788899437,1.13457741878619,1.05413834683147,0.0600604916988457,0.0521065465203262,0.0360147457488179,0.00361087353664376,0.00258884747130902,0.00129836027162362
"Slope",18,NA,0.288914801,0.262645295067273,0.27588158553,1.10001894732589,1.04724206381866,0.952021841409609,0.0522576661888129,0.0389457570424344,0.0494307472069914,0.00273359727277417,0.00137639352630958,0.00244584461405554
"Intercept",19,NA,0.335651747,0.314389461022542,0.30732077106,1.06763040309399,1.0921869870438,1.0230010159683,0.0724240389038266,0.065278679760565,0.0537291533116564,0.00525049190304603,0.00409930638618303,0.00288971162721469
"Slope",19,NA,0.334074811,0.308025190225157,0.31379480273,1.0845697741662,1.06462824780259,0.981613422355477,0.0675809405878557,0.0578126800936409,0.061765452328293,0.0045717552860253,0.00311832669498551,0.00381878989120985
"Intercept",20,NA,0.449161429,0.418149474869129,0.48427894862,1.07416475685059,0.927484934622761,0.863447556538823,0.148270835792191,0.126583864278823,0.127001263508569,0.0220062469935085,0.0157676862202131,0.0161454663991722
"Slope",20,NA,0.534039203,0.491318078581203,0.41255152489,1.08695207093165,1.29447880029626,1.19092537280575,0.177370136128317,0.148373949274709,0.107259463545834,0.0314916568470247,0.0219440247764732,0.0115161086287688
